Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1339.39,1368.68,1333.37,1360.66,1360.66,1450000
2020-01-03,1355.00,1360.00,1320.00,1347.83,1347.83,1380000
2020-01-06,1344.00,1394.48,1340.00,1394.48,1394.48,1620000
2020-01-07,1393.00,1400.00,1375.00,1389.52,1389.52,1390000
2020-01-08,1380.00,1410.00,1375.00,1404.50,1404.50,1510000
2020-01-09,1410.00,1432.80,1408.00,1429.73,1429.73,1760000
2020-01-10,1430.00,1441.00,1410.00,1421.47,1421.47,1480000
2020-01-13,1424.00,1451.70,1420.00,1450.16,1450.16,1520000
2020-01-14,1449.00,1455.00,1430.00,1434.73,1434.73,1330000
2020-01-15,1437.00,1458.00,1432.00,1455.02,1455.02,1440000
2020-01-16,1460.00,1476.00,1458.00,1474.52,1474.52,1560000
2020-01-17,1473.00,1484.00,1467.00,1479.22,1479.22,1430000
2020-01-21,1476.00,1483.00,1460.00,1469.37,1469.37,1220000
2020-01-22,1469.00,1477.00,1455.00,1468.35,1468.35,1310000
2020-01-23,1469.00,1480.00,1465.00,1478.86,1478.86,1250000
2020-01-24,1476.00,1484.00,1444.00,1449.10,1449.10,1480000
2020-01-27,1420.00,1440.00,1400.00,1415.82,1415.82,1890000
2020-01-28,1430.00,1456.00,1428.00,1452.09,1452.09,1560000
2020-01-29,1454.00,1464.00,1445.00,1460.78,1460.78,1310000
2020-01-30,1460.00,1470.00,1453.00,1465.52,1465.52,1270000
2020-01-31,1445.00,1453.00,1420.00,1434.24,1434.24,1780000
2020-02-03,1449.00,1464.00,1446.00,1454.68,1454.68,1370000
2020-02-04,1461.00,1488.00,1456.00,1485.94,1485.94,1580000
2020-02-05,1486.00,1503.00,1480.00,1500.96,1500.96,1640000
2020-02-06,1500.00,1515.00,1496.00,1508.68,1508.68,1390000
2020-02-07,1500.00,1510.00,1480.00,1494.49,1494.49,1360000
2020-02-10,1500.00,1521.00,1496.00,1516.55,1516.55,1430000
2020-02-11,1519.00,1530.00,1511.00,1528.83,1528.83,1520000
2020-02-12,1529.00,1545.00,1527.00,1540.00,1540.00,1670000
2020-02-13,1528.00,1536.00,1496.00,1501.42,1501.42,1580000
2020-02-14,1500.00,1514.00,1498.00,1512.34,1512.34,1290000
2020-02-18,1485.00,1500.00,1467.00,1486.25,1486.25,1480000
2020-02-19,1500.00,1512.00,1495.00,1503.58,1503.58,1360000
2020-02-20,1485.00,1490.00,1437.00,1438.42,1438.42,1980000
2020-02-21,1427.00,1432.00,1388.00,1396.79,1396.79,2250000
2020-02-24,1352.00,1360.00,1311.00,1323.27,1323.27,2850000
2020-02-25,1314.00,1329.00,1280.00,1283.60,1283.60,2760000
2020-02-26,1295.00,1313.00,1250.00,1268.98,1268.98,2890000
2020-02-27,1225.00,1264.00,1197.00,1219.74,1219.74,3760000
2020-02-28,1170.00,1230.00,1148.00,1202.86,1202.86,4260000
2020-03-02,1258.00,1304.00,1249.00,1280.76,1280.76,3220000
2020-03-03,1255.00,1287.00,1215.00,1225.26,1225.26,3450000
2020-03-04,1268.00,1323.00,1264.00,1323.00,1323.00,2980000
2020-03-05,1305.00,1314.00,1246.00,1253.07,1253.07,2840000
2020-03-06,1204.00,1241.00,1182.00,1206.61,1206.61,3560000
2020-03-09,1103.00,1143.00,1101.00,1105.61,1105.61,4750000
2020-03-10,1130.00,1200.00,1112.00,1180.76,1180.76,4120000
2020-03-11,1121.00,1152.00,1077.00,1104.09,1104.09,4360000
2020-03-12,1044.00,1104.00,1008.00,1057.88,1057.88,5820000
2020-03-13,1094.00,1163.00,1060.00,1153.58,1153.58,5140000
2020-03-16,1088.00,1101.00,1021.00,1037.61,1037.61,4980000
2020-03-17,1034.00,1069.00,1003.00,1044.41,1044.41,4560000
2020-03-18,1029.00,1072.00,1008.00,1055.89,1055.89,4230000
2020-03-19,1033.00,1060.00,1013.00,1039.55,1039.55,4120000
2020-03-20,1020.00,1038.00,982.00,1014.23,1014.23,4870000
2020-03-23,1003.00,1053.00,996.00,1054.68,1054.68,4430000
2020-03-24,1100.00,1142.00,1083.00,1139.22,1139.22,3970000
2020-03-25,1120.00,1152.00,1092.00,1102.61,1102.61,3560000
2020-03-26,1175.00,1215.00,1163.00,1209.77,1209.77,3240000
2020-03-27,1179.00,1194.00,1147.00,1162.81,1162.81,3120000
